Year,MB,Area,AreaEstLs,AreaNew
2005,-1962,0.412,0.368,0.412
2006,-1712,0.224982828,0.342,0.342
2007,-1532,0.20603286,0.359,0.359
2008,89,0.34,,0.34
2009,-525,0.137186381,0.362,0.362
2010,-182,,0.289,0.289
2012,-1261,0.258,,0.258
2013,-1246,0.2697923019,0.261,0.27
2014,-1407,0.164,0.266,0.266
2015,-563,0.2628239989,0.268,0.263
2016,-2505,0.2599369,0.227,0.26
2017,-1032,0.2545,0.205,0.254
2018,-360,0.24333628,,0.243
2019,-895,0.23421786,0.257,0.234
