Year,MB,Area,AreaEstLs,AreaNew
2009,-1195,,,0.412
2010,-570,,,0.412
2011,-42,,,0.412
2012,860,,0.412,0.412
2013,-861,,,0.412
2014,-27,,0.412,0.412
2015,-884,,0.412,0.412
2016,-514,0.362,0.362,0.362
2017,339,,0.37,0.37
2018,656,,0.37,0.37
2019,384,,,0.363
2021,367,,,0.356
2022,654,,0.348,0.348
