date,precip_mm
2019-07,124.585
2019-08,123.761
2019-09,149.673
2019-10,122.528
2019-11,102.969
2019-12,67.252
2020-01,33.047
2020-02,44.849
2020-03,46.613
2020-04,118.669
2020-05,91.517
2020-06,201.944
2020-07,190.926
2020-08,142.376
2020-09,161.191
2020-10,130.297
2020-11,232.084
2020-12,57.586
2021-01,33.744
2021-02,49.883
2021-03,43.124
2021-04,158.254
2021-05,103.698
2021-06,197.109
2021-07,170.097
2021-08,153.498
2021-09,145.359
2021-10,153.229
2021-11,67.647
2021-12,56.86
2022-01,18.467
2022-02,84.714
2022-03,60.562
2022-04,224.779
2022-05,153.814
2022-06,260.747
2022-07,171.776
2022-08,153.381
2022-09,199.054
2022-10,312.822
2022-11,198.76
2022-12,32.977
2023-01,74.386
2023-02,68.375
2023-03,85.876
2023-04,229.544
2023-05,165.895
2023-06,170.448
2023-07,183.67
2023-08,107.683
2023-09,61.107
2023-10,185.313
2023-11,94.336
2023-12,49.806
2024-01,19.205
2024-02,71.2
2024-03,27.577
2024-04,197.315
2024-05,179.502
2024-06,271.633
2024-07,171.782
2024-08,138.672
2024-09,148.744
2024-10,171.818
2024-11,189.008
