time,NDVI
2012-09-29,0.63
2012-10-15,0.606
2012-10-31,0.561
2012-11-16,0.587
2012-12-02,0.592
2012-12-18,0.546
2013-01-01,0.536
2013-01-17,0.488
2013-02-02,0.485
2013-02-18,0.502
2013-03-06,0.493
2013-03-22,0.494
2013-04-07,0.101
2013-04-23,0.142
2013-05-09,0.465
2013-05-25,0.577
2013-06-10,0.434
2013-06-26,0.626
2013-07-12,0.658
2013-07-28,0.435
2013-08-13,0.626
2013-08-29,0.091
2013-09-14,0.435
2013-09-30,0.557
2013-10-16,0.582
2013-11-01,0.559
2013-11-17,0.506
2013-12-03,0.301
2013-12-19,0.573
2014-01-01,0.561
2014-01-17,0.53
2014-02-02,0.538
2014-02-18,0.304
2014-03-06,0.531
2014-03-22,0.537
2014-04-07,0.583
2014-04-23,0.136
2014-05-09,0.588
2014-05-25,0.571
2014-06-10,0.306
2014-06-26,0.315
2014-07-12,0.649
2014-07-28,0.565
2014-08-13,0.314
2014-08-29,0.556
2014-09-14,0.577
2014-09-30,0.324
2014-10-16,0.193
2014-11-01,0.418
2014-11-17,0.576
2014-12-03,0.599
2014-12-19,0.567
2015-01-01,0.52
2015-01-17,0.461
2015-02-02,0.503
2015-02-18,0.499
2015-03-06,0.53
2015-03-22,0.474
2015-04-07,0.129
2015-04-23,0.586
2015-05-09,0.526
2015-05-25,0.118
2015-06-10,0.51
2015-06-26,0.455
2015-07-12,0.256
2015-07-28,0.649
2015-08-13,0.082
2015-08-29,0.583
2015-09-14,0.619
2015-09-30,0.162
2015-10-16,0.09
2015-11-01,0.48
2015-11-17,0.596
2015-12-03,0.597
2015-12-19,0.595
2016-01-01,0.549
2016-01-17,0.534
2016-02-02,0.468
2016-02-18,0.542
2016-03-05,0.436
2016-03-21,0.464
2016-04-06,0.476
2016-04-22,0.201
2016-05-08,0.278
2016-05-24,0.631
2016-06-09,0.602
2016-06-25,0.615
2016-07-11,0.49
2016-07-27,0.604
2016-08-12,0.601
2016-08-28,0.354
2016-09-13,0.56
2016-09-29,0.552
2016-10-15,0.607
2016-10-31,0.168
2016-11-16,0.457
2016-12-02,0.618
2016-12-18,0.569
2017-01-01,0.61
2017-01-17,0.589
2017-02-02,0.57
2017-02-18,0.462
2017-03-06,0.357
2017-03-22,0.528
2017-04-07,0.559
2017-04-23,0.479
2017-05-09,0.595
2017-05-25,0.596
2017-06-10,0.64
2017-06-26,0.622
2017-07-12,0.26
2017-07-28,0.187
2017-08-13,0.192
2017-08-29,0.593
2017-09-14,0.191
2017-09-30,0.313
2017-10-16,0.246
2017-11-01,0.2
2017-11-17,0.602
2017-12-03,0.564
2017-12-19,0.532
2018-01-01,0.515
2018-01-17,0.557
2018-02-02,0.569
2018-02-18,0.551
2018-03-06,0.517
2018-03-22,0.211
2018-04-07,0.474
2018-04-23,0.19
2018-05-09,0.378
2018-05-25,0.407
2018-06-10,0.282
2018-06-26,0.358
2018-07-12,0.447
2018-07-28,0.572
2018-08-13,0.703
2018-08-29,0.445
2018-09-14,0.359
2018-09-30,0.532
2018-10-16,0.551
2018-11-01,0.49
2018-11-17,0.577
2018-12-03,0.579
2018-12-19,0.556
2019-01-01,0.524
2019-01-17,0.498
2019-02-02,0.525
2019-02-18,0.511
2019-03-06,0.289
2019-03-22,0.579
2019-04-07,0.431
2019-04-23,0.556
2019-05-09,0.215
2019-05-25,0.232
2019-06-10,0.726
2019-06-26,0.611
2019-07-12,0.451
2019-07-28,0.461
2019-08-13,0.595
2019-08-29,0.568
2019-09-14,0.13
2019-09-30,0.216
2019-10-16,0.482
2019-11-01,0.197
2019-11-17,0.606
2019-12-03,0.595
2019-12-19,0.602
2020-01-01,0.55
2020-01-17,0.495
2020-02-02,0.534
2020-02-18,0.459
2020-03-05,0.437
2020-03-21,0.498
2020-04-06,0.518
2020-04-22,0.495
2020-05-08,0.382
2020-05-24,0.295
2020-06-09,0.314
2020-06-25,0.291
2020-07-11,0.346
2020-07-27,0.622
2020-08-12,0.634
2020-08-28,0.453
2020-09-13,0.654
2020-09-29,0.31
2020-10-15,0.473
2020-10-31,0.063
2020-11-16,0.52
2020-12-02,0.636
2020-12-18,0.577
2021-01-01,0.607
2021-01-17,0.567
2021-02-02,0.546
2021-02-18,0.518
2021-03-06,0.539
2021-03-22,0.331
2021-04-07,0.549
2021-04-23,0.562
2021-05-09,0.701
2021-05-25,0.267
2021-06-10,0.249
2021-06-26,0.232
2021-07-12,0.619
2021-07-28,0.642
2021-08-13,0.231
2021-08-29,0.251
2021-09-14,0.496
2021-09-30,0.59
2021-10-16,0.254
2021-11-01,0.628
2021-11-17,0.603
2021-12-03,0.595
2021-12-19,0.578
2022-01-01,0.558
2022-01-17,0.53
2022-02-02,0.532
2022-02-18,0.239
2022-03-06,0.42
2022-03-22,0.551
2022-04-07,0.405
2022-04-23,0.552
2022-05-09,0.407
2022-05-25,0.546
2022-06-10,0.289
2022-06-26,0.333
2022-07-12,0.592
2022-07-28,0.582
2022-08-13,0.635
2022-08-29,0.268
2022-09-14,0.594
2022-09-30,0.546
2022-10-16,0.633
2022-11-01,0.274
2022-11-17,0.636
2022-12-03,0.613
2022-12-19,0.588
2023-01-01,0.562
2023-01-17,0.547
2023-02-02,0.569
2023-02-18,0.519
2023-03-06,0.552
2023-03-22,0.563
2023-04-07,0.375
2023-04-23,0.607
2023-05-09,0.55
2023-05-25,0.651
2023-06-10,0.604
2023-06-26,0.254
2023-07-12,0.624
2023-07-28,0.574
2023-08-13,0.621
2023-08-29,0.584
2023-09-14,0.567
2023-09-30,0.552
2023-10-16,0.148
2023-11-01,0.617
2023-11-17,0.627
2023-12-03,0.593
2023-12-19,0.588
2024-01-01,0.57
2024-01-17,0.503
2024-02-02,0.514
2024-02-18,0.416
2024-03-05,0.415
2024-03-21,0.414
2024-04-06,0.425
2024-04-22,0.29
2024-05-08,0.513
2024-05-24,0.697
2024-06-09,0.063
2024-06-25,0.628
2024-07-11,0.203
2024-07-27,0.494
2024-08-12,0.668
2024-08-28,0.651
2024-09-13,0.624
2024-09-29,0.633
2024-10-15,0.607
2024-10-31,0.107
2024-11-16,0.646
2024-12-02,0.649
2024-12-18,0.566
2025-01-01,0.579
2025-01-17,0.498
2025-02-02,0.537
2025-02-18,0.526
2025-03-06,0.534
2025-03-22,0.462
2025-04-07,0.541
2025-04-23,0.332
2025-05-09,0.148
2025-05-25,0.629
2025-06-10,0.164
2025-06-26,0.653
2025-07-12,0.648
2025-07-28,0.578
2025-08-13,0.596
2025-08-29,0.592
2025-09-14,0.604
2025-09-30,0.58
2025-10-16,0.521
2025-11-01,0.6
2025-11-17,0.664
2025-12-03,0.645
2025-12-19,0.651
2026-01-01,0.582
2026-01-17,0.633
