time,NDVI
2012-09-29,0.311
2012-10-15,0.356
2012-10-31,0.274
2012-11-16,0.397
2012-12-02,0.308
2012-12-18,0.401
2013-01-01,0.409
2013-01-17,0.469
2013-02-02,0.232
2013-02-18,0.342
2013-03-06,0.093
2013-03-22,0.454
2013-04-07,0.46
2013-04-23,0.444
2013-05-09,0.461
2013-05-25,0.471
2013-06-10,0.414
2013-06-26,0.427
2013-07-12,0.376
2013-07-28,0.38
2013-08-13,0.357
2013-08-29,0.333
2013-09-14,0.343
2013-09-30,0.324
2013-10-16,0.326
2013-11-01,0.363
2013-11-17,0.375
2013-12-03,0.277
2013-12-19,0.374
2014-01-01,0.237
2014-01-17,0.419
2014-02-02,0.211
2014-02-18,0.188
2014-03-06,0.345
2014-03-22,0.311
2014-04-07,0.443
2014-04-23,0.259
2014-05-09,0.447
2014-05-25,0.438
2014-06-10,0.449
2014-06-26,0.401
2014-07-12,0.393
2014-07-28,0.392
2014-08-13,0.405
2014-08-29,0.367
2014-09-14,0.308
2014-09-30,0.313
2014-10-16,0.297
2014-11-01,0.311
2014-11-17,0.382
2014-12-03,0.317
2014-12-19,0.381
2015-01-01,0.311
2015-01-17,0.237
2015-02-02,0.318
2015-02-18,0.099
2015-03-06,0.18
2015-03-22,0.49
2015-04-07,0.438
2015-04-23,0.374
2015-05-09,0.454
2015-05-25,0.457
2015-06-10,0.457
2015-06-26,0.432
2015-07-12,0.385
2015-07-28,0.398
2015-08-13,0.404
2015-08-29,0.378
2015-09-14,0.348
2015-09-30,0.361
2015-10-16,0.268
2015-11-01,0.359
2015-11-17,0.414
2015-12-03,0.376
2015-12-19,0.434
2016-01-01,0.408
2016-01-17,0.41
2016-02-02,0.428
2016-02-18,0.205
2016-03-05,0.437
2016-03-21,0.458
2016-04-06,0.459
2016-04-22,0.467
2016-05-08,0.432
2016-05-24,0.421
2016-06-09,0.418
2016-06-25,0.375
2016-07-11,0.354
2016-07-27,0.36
2016-08-12,0.355
2016-08-28,0.332
2016-09-13,0.312
2016-09-29,0.309
2016-10-15,0.233
2016-10-31,0.301
2016-11-16,0.278
2016-12-02,0.342
2016-12-18,0.332
2017-01-01,0.128
2017-01-17,0.361
2017-02-02,0.355
2017-02-18,0.247
2017-03-06,0.122
2017-03-22,0.418
2017-04-07,0.325
2017-04-23,0.452
2017-05-09,0.426
2017-05-25,0.473
2017-06-10,0.443
2017-06-26,0.423
2017-07-12,0.421
2017-07-28,0.399
2017-08-13,0.361
2017-08-29,0.357
2017-09-14,0.345
2017-09-30,0.345
2017-10-16,0.351
2017-11-01,0.182
2017-11-17,0.173
2017-12-03,0.394
2017-12-19,0.078
2018-01-01,0.036
2018-01-17,0.409
2018-02-02,0.45
2018-02-18,0.438
2018-03-06,0.392
2018-03-22,0.22
2018-04-07,0.414
2018-04-23,0.309
2018-05-09,0.476
2018-05-25,0.428
2018-06-10,0.457
2018-06-26,0.425
2018-07-12,0.412
2018-07-28,0.399
2018-08-13,0.375
2018-08-29,0.363
2018-09-14,0.35
2018-09-30,0.322
2018-10-16,0.146
2018-11-01,0.322
2018-11-17,0.405
2018-12-03,0.38
2018-12-19,0.408
2019-01-01,0.416
2019-01-17,0.292
2019-02-02,0.443
2019-02-18,0.267
2019-03-06,0.156
2019-03-22,0.48
2019-04-07,0.414
2019-04-23,0.495
2019-05-09,0.484
2019-05-25,0.451
2019-06-10,0.417
2019-06-26,0.439
2019-07-12,0.388
2019-07-28,0.402
2019-08-13,0.395
2019-08-29,0.38
2019-09-14,0.321
2019-09-30,0.318
2019-10-16,0.301
2019-11-01,0.284
2019-11-17,0.188
2019-12-03,0.156
2019-12-19,0.258
2020-01-01,0.434
2020-01-17,0.206
2020-02-02,0.186
2020-02-18,0.478
2020-03-05,0.475
2020-03-21,0.486
2020-04-06,0.463
2020-04-22,0.462
2020-05-08,0.413
2020-05-24,0.481
2020-06-09,0.472
2020-06-25,0.442
2020-07-11,0.442
2020-07-27,0.402
2020-08-12,0.364
2020-08-28,0.35
2020-09-13,0.246
2020-09-29,0.308
2020-10-15,0.326
2020-10-31,0.366
2020-11-16,0.349
2020-12-02,0.307
2020-12-18,0.211
2021-01-01,0.237
2021-01-17,0.343
2021-02-02,0.393
2021-02-18,0.423
2021-03-06,0.313
2021-03-22,0.322
2021-04-07,0.392
2021-04-23,0.462
2021-05-09,0.46
2021-05-25,0.443
2021-06-10,0.44
2021-06-26,0.448
2021-07-12,0.431
2021-07-28,0.401
2021-08-13,0.37
2021-08-29,0.322
2021-09-14,0.327
2021-09-30,0.303
2021-10-16,0.418
2021-11-01,0.354
2021-11-17,0.176
2021-12-03,0.229
2021-12-19,0.421
2022-01-01,0.425
2022-01-17,0.448
