time,NDVI
2012-09-29,0.559
2012-10-15,0.578
2012-10-31,0.56
2012-11-16,0.509
2012-12-02,0.532
2012-12-18,0.495
2013-01-01,0.496
2013-01-17,0.452
2013-02-02,0.516
2013-02-18,0.515
2013-03-06,0.525
2013-03-22,0.484
2013-04-07,0.128
2013-04-23,0.11
2013-05-09,0.594
2013-05-25,0.507
2013-06-10,0.457
2013-06-26,0.546
2013-07-12,0.586
2013-07-28,0.561
2013-08-13,0.661
2013-08-29,0.188
2013-09-14,0.354
2013-09-30,0.548
2013-10-16,0.538
2013-11-01,0.497
2013-11-17,0.49
2013-12-03,0.466
2013-12-19,0.513
2014-01-01,0.51
2014-01-17,0.489
2014-02-02,0.517
2014-02-18,0.416
2014-03-06,0.542
2014-03-22,0.482
2014-04-07,0.57
2014-04-23,0.139
2014-05-09,0.565
2014-05-25,0.551
2014-06-10,0.074
2014-06-26,0.41
2014-07-12,0.602
2014-07-28,0.542
2014-08-13,0.202
2014-08-29,0.54
2014-09-14,0.576
2014-09-30,0.4
2014-10-16,0.068
2014-11-01,0.294
2014-11-17,0.496
2014-12-03,0.563
2014-12-19,0.583
2015-01-01,0.526
2015-01-17,0.467
2015-02-02,0.464
2015-02-18,0.472
2015-03-06,0.538
2015-03-22,0.5
2015-04-07,0.199
2015-04-23,0.55
2015-05-09,0.525
2015-05-25,0.074
2015-06-10,0.267
2015-06-26,0.629
2015-07-12,0.256
2015-07-28,0.611
2015-08-13,0.128
2015-08-29,0.563
2015-09-14,0.521
2015-09-30,0.148
2015-10-16,0.097
2015-11-01,0.523
2015-11-17,0.363
2015-12-03,0.572
2015-12-19,0.555
2016-01-01,0.556
2016-01-17,0.48
2016-02-02,0.476
2016-02-18,0.56
2016-03-05,0.504
2016-03-21,0.481
2016-04-06,0.388
2016-04-22,0.116
2016-05-08,0.575
2016-05-24,0.612
2016-06-09,0.605
2016-06-25,0.569
2016-07-11,0.351
2016-07-27,0.589
2016-08-12,0.576
2016-08-28,0.5
2016-09-13,0.613
2016-09-29,0.565
2016-10-15,0.567
2016-10-31,0.207
2016-11-16,0.562
2016-12-02,0.541
2016-12-18,0.543
2017-01-01,0.53
2017-01-17,0.538
2017-02-02,0.522
2017-02-18,0.287
2017-03-06,0.523
2017-03-22,0.496
2017-04-07,0.523
2017-04-23,0.514
2017-05-09,0.548
2017-05-25,0.516
2017-06-10,0.597
2017-06-26,0.547
2017-07-12,0.299
2017-07-28,0.176
2017-08-13,0.558
2017-08-29,0.581
2017-09-14,0.399
2017-09-30,0.405
2017-10-16,0.23
2017-11-01,0.409
2017-11-17,0.534
2017-12-03,0.551
2017-12-19,0.53
2018-01-01,0.432
2018-01-17,0.503
2018-02-02,0.521
2018-02-18,0.501
2018-03-06,0.538
2018-03-22,0.098
2018-04-07,0.534
2018-04-23,0.111
2018-05-09,0.513
2018-05-25,0.467
2018-06-10,0.129
2018-06-26,0.272
2018-07-12,0.425
2018-07-28,0.571
2018-08-13,0.561
2018-08-29,0.53
2018-09-14,0.518
2018-09-30,0.595
2018-10-16,0.582
2018-11-01,0.296
2018-11-17,0.522
2018-12-03,0.558
2018-12-19,0.517
2019-01-01,0.488
2019-01-17,0.5
2019-02-02,0.516
2019-02-18,0.54
2019-03-06,0.285
2019-03-22,0.523
2019-04-07,0.422
2019-04-23,0.547
2019-05-09,0.114
2019-05-25,0.301
2019-06-10,0.49
2019-06-26,0.572
2019-07-12,0.619
2019-07-28,0.605
2019-08-13,0.589
2019-08-29,0.531
2019-09-14,0.301
2019-09-30,0.225
2019-10-16,0.526
2019-11-01,0.183
2019-11-17,0.521
2019-12-03,0.524
2019-12-19,0.531
2020-01-01,0.486
2020-01-17,0.478
2020-02-02,0.49
2020-02-18,0.486
2020-03-05,0.452
2020-03-21,0.511
2020-04-06,0.494
2020-04-22,0.476
2020-05-08,0.528
2020-05-24,0.633
2020-06-09,0.322
2020-06-25,0.315
2020-07-11,0.142
2020-07-27,0.553
2020-08-12,0.278
2020-08-28,0.407
2020-09-13,0.622
2020-09-29,0.629
2020-10-15,0.52
2020-10-31,0.108
2020-11-16,0.576
2020-12-02,0.549
2020-12-18,0.52
2021-01-01,0.52
2021-01-17,0.497
2021-02-02,0.524
2021-02-18,0.476
2021-03-06,0.502
2021-03-22,0.242
2021-04-07,0.518
2021-04-23,0.231
2021-05-09,0.642
2021-05-25,0.388
2021-06-10,0.239
2021-06-26,0.179
2021-07-12,0.578
2021-07-28,0.609
2021-08-13,0.172
2021-08-29,0.312
2021-09-14,0.53
2021-09-30,0.59
2021-10-16,0.251
2021-11-01,0.581
2021-11-17,0.543
2021-12-03,0.544
2021-12-19,0.53
2022-01-01,0.506
